BSC,Objectives,,KPIs,"Weight 
(%)",Target,Remark,Self-Rating,Line Manager-Rating,Scores
Financials,Attrition rate,,% Reduction rate from Previous year,20,90%,On Track,5,5,20
,Alternative Resourcing,,Number of KIV used,10,10,Off Track,5,,
,Employee Engagement,,Not Less than 8 sessions Facilitated in a year,10,8,Off Track,5,,
Customers,Improve internal Service delivery,,Internal customer satisfaction,10,90%,Off Track,5,,
,Conflict Resolution,,Total resolution,10,100%,Off Track,5,,
Internal Process,Develop/Implement HR policies,,Compliance to policies,5,100%,Off Track,5,,
,Recruitment Process,,Employ Sales Representative to fill in the gap created,5,100,,,,
Learning &Growth,Employees training ,,Training Participation,10,100%,Off Track,,,
,Facilitate knowledge sharing session,,"Not less than 6 in a year 
organisation wide",10,6,Off Track,,,
Core Values,Team Work ,,"
Respects diversity of individuals
 and thoughts. 
Works as a part of the cohesive team.",2,100%,Off Track,,,
,Integrity,,"Conducts his/her business
 fairly and honestly. Ethical, while dealing  (serving) any stakeholder. ",4,100%,Off Track,,,
,Excellence,,"Achieves the  highest possible standards of work. Embraces change, and faces challenges boldly & intelligently. """,2,100%,Off Track,,,
,Sustainability,,"Continuously thrives for
 improvements in
 his/her assigned 
work/processes. 
Looks for creative & breakthrough 
solution to problems""",2,100%,Off Track,,,
,,,,100%,,,Total Score:,,20
Employee's    Comment  & Date:,,,,,,,,,
Line Manager's  Comment  & Date:,,,,,,,Performance Grade:,,Performance Improvement Plan
Employee's Training Needs:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Scores & Description,,,,,,,,,
Rating,Description,Interpretation,,,,,,,
5,·Performance is significantly and consistently above expectations. Meets 95% and above of the number of all agreed targets.,Exceptional,,,,,,,
,,,,,,,,,
4,·Performance meets 85-94% of the number of agreed targets,Exceeds expectations,,,,,,,
3,·Performance meets at least 70-84% of the number of target set,Meets expectations,,,,,,,
2,·Performance meets barest minimum expectations for the level. Meet at least 50-69% of the number of set targets,Improvement needed,,,,,,,
,,,,,,,,,
1,·Performance is significantly below expectation. Meets  49% and below of the number of set targets,Performanace Improvement Plan,,,,,,,
,,,,,,,,,
